video_id,author_id,video_type,upload_type,music_type
0,7349781,NORMAL,LongImport,9
1,2103883,NORMAL,Kmovie,9
2,5067285,NORMAL,ShortImport,4
3,7048760,NORMAL,Web,9
4,8635271,NORMAL,Web,9
5,8367059,NORMAL,Web,9
6,7242897,NORMAL,Kmovie,9
7,7676925,NORMAL,LongPicture,8
8,8496788,AD,UNKNOWN,
9,3499857,NORMAL,LongImport,9
10,3788873,NORMAL,LongImport,4
11,7153443,NORMAL,Web,9
12,7048760,NORMAL,Web,9
13,1687344,NORMAL,Web,9
14,3122566,NORMAL,LongImport,9
15,7119869,NORMAL,ShortImport,9
16,7705594,NORMAL,Web,9
17,8407292,NORMAL,LongImport,9
18,5857313,NORMAL,Kmovie,9
19,4143746,NORMAL,ShortImport,9
20,6243661,NORMAL,LongImport,9
21,8187841,NORMAL,Web,9
22,5871071,NORMAL,PictureSet,4
23,7188628,NORMAL,LongImport,9
24,6059108,NORMAL,Kmovie,9
25,1907691,NORMAL,LongImport,9
26,6648932,NORMAL,Web,4
27,5722201,NORMAL,LongPicture,9
28,6666752,NORMAL,ShortCamera,4
29,7443717,NORMAL,LongImport,9
30,8653987,NORMAL,Web,9
31,4620849,NORMAL,ShortImport,4
32,6034888,NORMAL,LongImport,9
33,7012224,NORMAL,Kmovie,9
34,45070,NORMAL,ShortImport,9
35,7621703,NORMAL,Kmovie,9
36,6942352,NORMAL,ShortImport,9
37,7550200,NORMAL,Web,9
38,2436,NORMAL,LongImport,9
39,7252043,NORMAL,Web,9
40,617568,NORMAL,Web,9
41,566,NORMAL,ShortImport,9
42,20467,NORMAL,ShortImport,9
43,8289602,NORMAL,LongImport,9
44,2359097,NORMAL,Kmovie,4
45,3284872,NORMAL,Web,9
46,7534404,NORMAL,Web,9
47,7118443,NORMAL,Kmovie,4
48,493947,NORMAL,Kmovie,9
49,4506909,NORMAL,Kmovie,4
50,8087025,NORMAL,ShortImport,9
51,5281979,NORMAL,LongImport,
52,8267600,NORMAL,ShortImport,9
53,6838476,NORMAL,Web,9
54,4983260,NORMAL,LongImport,9
55,8020359,NORMAL,LongImport,9
56,5545525,NORMAL,LongImport,9
57,7003977,NORMAL,LongImport,9
58,6848337,NORMAL,LongImport,9
59,5279645,NORMAL,LongImport,
60,543993,NORMAL,ShortImport,4
61,5664998,NORMAL,Web,9
62,7549471,NORMAL,Web,9
63,4744093,NORMAL,LongImport,9
64,5926590,NORMAL,Web,4
65,657381,NORMAL,LongImport,9
66,8347708,NORMAL,Web,9
67,4138597,NORMAL,LongImport,9
68,7220433,NORMAL,LongImport,9
69,7048760,NORMAL,Web,9
70,8072619,NORMAL,LongImport,9
71,604241,NORMAL,Web,9
72,7530383,NORMAL,LongImport,9
73,2922961,NORMAL,LongPicture,4
74,8270790,NORMAL,Web,4
75,786360,NORMAL,ShortImport,4
76,6463761,NORMAL,Web,9
77,90012,NORMAL,LongImport,9
78,3933799,NORMAL,Web,9
79,5926235,NORMAL,LongImport,9
80,8374511,NORMAL,Web,9
81,7975677,NORMAL,Web,9
82,3510450,NORMAL,Kmovie,9
83,3354088,NORMAL,LongImport,9
84,3640904,NORMAL,Kmovie,9
85,6438621,NORMAL,Kmovie,8
86,1239607,NORMAL,Kmovie,9
87,2661366,NORMAL,LongPicture,4
88,4436464,NORMAL,LongImport,4
89,8169646,NORMAL,Web,9
90,4269732,NORMAL,LongImport,
91,6250944,NORMAL,LongImport,9
92,6473913,NORMAL,ShortImport,9
93,6857671,NORMAL,ShortImport,9
94,8075929,NORMAL,LongImport,9
95,4048649,NORMAL,LongPicture,9
96,7165189,NORMAL,Web,9
97,4784098,NORMAL,LongImport,9
98,829960,NORMAL,LongImport,9
99,809583,NORMAL,LongImport,9
